oven_id,day,date,oven_age_years,days_since_service,temp_mean_c,temp_max_c,door_cycles,humidity_pct,fault_next_24h,repair_minutes,fault_code
O-01,5,2026-03-06,2.5,2,206.0,208.4,46,46.5,0,0,
O-02,5,2026-03-06,4.0,3,204.2,208.7,61,46.0,0,0,
O-03,5,2026-03-06,6.5,2,211.0,216.5,60,44.7,0,0,
O-04,5,2026-03-06,8.0,17,213.8,217.3,42,41.9,0,0,
O-05,5,2026-03-06,3.0,10,200.8,202.9,52,44.9,0,0,
O-06,5,2026-03-06,9.5,2,218.9,231.4,85,46.9,1,149,F-CTRL
O-07,5,2026-03-06,5.5,5,207.5,208.3,68,51.1,0,0,
O-08,5,2026-03-06,11.0,1,214.0,214.7,61,44.7,0,0,
O-01,6,2026-03-07,2.5,3,205.8,212.6,49,44.7,0,0,
O-02,6,2026-03-07,4.0,4,204.1,207.5,77,47.3,0,0,
O-03,6,2026-03-07,6.5,3,208.1,216.9,76,44.6,0,0,
O-04,6,2026-03-07,8.0,18,213.7,216.1,52,47.0,0,0,
O-05,6,2026-03-07,3.0,11,202.0,206.7,43,42.8,0,0,
O-06,6,2026-03-07,9.5,0,215.4,220.9,78,44.8,0,0,
O-07,6,2026-03-07,5.5,6,203.2,205.7,52,46.2,0,0,
O-08,6,2026-03-07,11.0,2,216.2,221.5,52,49.5,1,201,F-HEAT
O-01,7,2026-03-08,2.5,4,206.7,210.5,75,44.9,0,0,
O-02,7,2026-03-08,4.0,5,204.4,204.5,82,44.8,0,0,
O-03,7,2026-03-08,6.5,4,212.8,220.4,69,45.2,0,0,
O-04,7,2026-03-08,8.0,19,213.3,219.3,39,49.5,0,0,
O-05,7,2026-03-08,3.0,12,202.3,208.0,79,43.6,0,0,
O-06,7,2026-03-08,9.5,1,212.1,218.7,46,41.6,0,0,
O-07,7,2026-03-08,5.5,7,203.5,203.6,49,45.6,0,0,
O-08,7,2026-03-08,11.0,0,219.7,228.0,49,44.3,1,228,F-CTRL
O-01,8,2026-03-09,2.5,5,203.5,207.5,40,45.3,0,0,
O-02,8,2026-03-09,4.0,6,204.8,208.6,58,48.7,0,0,
O-03,8,2026-03-09,6.5,5,209.1,209.2,77,45.6,0,0,
O-04,8,2026-03-09,8.0,20,214.5,226.1,60,43.4,1,190,F-CTRL
O-05,8,2026-03-09,3.0,13,200.6,205.4,50,45.5,0,0,
O-06,8,2026-03-09,9.5,2,215.0,220.6,49,45.2,0,0,
O-07,8,2026-03-09,5.5,8,202.9,210.2,39,49.5,0,0,
O-08,8,2026-03-09,11.0,0,215.1,219.3,53,50.9,0,0,
O-01,9,2026-03-10,2.5,6,200.9,203.4,51,43.8,0,0,
O-02,9,2026-03-10,4.0,7,204.9,207.5,52,43.4,0,0,
O-03,9,2026-03-10,6.5,6,210.1,211.8,50,48.0,0,0,
O-04,9,2026-03-10,8.0,0,210.3,213.7,80,46.7,0,0,
O-05,9,2026-03-10,3.0,14,202.1,207.9,43,44.1,0,0,
O-06,9,2026-03-10,9.5,3,216.2,221.2,50,41.7,1,116,F-DOOR
O-07,9,2026-03-10,5.5,9,204.9,209.0,44,49.8,0,0,
O-08,9,2026-03-10,11.0,1,215.2,217.8,70,45.0,0,0,
O-01,10,2026-03-11,2.5,7,206.0,210.4,50,41.3,0,0,
O-02,10,2026-03-11,4.0,8,207.9,212.4,61,47.4,0,0,
O-03,10,2026-03-11,6.5,7,210.7,215.5,58,42.9,0,0,
O-04,10,2026-03-11,8.0,1,210.6,211.1,40,46.5,0,0,
O-05,10,2026-03-11,3.0,15,204.8,213.3,66,47.2,0,0,
O-06,10,2026-03-11,9.5,0,213.7,220.1,31,45.5,0,0,
O-07,10,2026-03-11,5.5,10,205.7,209.3,67,44.1,0,0,
O-08,10,2026-03-11,11.0,2,212.4,215.1,51,49.0,0,0,
O-01,11,2026-03-12,2.5,8,204.5,210.4,43,49.4,0,0,
O-02,11,2026-03-12,4.0,9,206.5,208.7,61,48.3,0,0,
O-03,11,2026-03-12,6.5,8,211.7,214.1,66,46.2,0,0,
O-04,11,2026-03-12,8.0,2,208.3,213.8,55,50.3,0,0,
O-05,11,2026-03-12,3.0,16,201.4,210.0,44,43.9,0,0,
O-06,11,2026-03-12,9.5,1,213.5,215.3,53,43.1,0,0,
O-07,11,2026-03-12,5.5,11,208.5,214.0,53,48.9,0,0,
O-08,11,2026-03-12,11.0,3,214.3,220.4,87,52.7,0,0,
O-01,12,2026-03-13,2.5,9,208.3,215.9,68,46.4,0,0,
O-02,12,2026-03-13,4.0,10,207.3,208.6,66,51.2,0,0,
O-03,12,2026-03-13,6.5,9,215.1,218.1,54,44.4,0,0,
O-04,12,2026-03-13,8.0,3,212.5,217.9,51,44.1,0,0,
O-05,12,2026-03-13,3.0,17,201.7,206.2,54,46.0,1,143,F-HEAT
O-06,12,2026-03-13,9.5,2,214.6,217.8,48,49.7,0,0,
O-07,12,2026-03-13,5.5,12,204.2,210.2,68,49.5,0,0,
O-08,12,2026-03-13,11.0,4,213.2,221.9,52,47.5,0,0,
O-01,13,2026-03-14,2.5,10,206.3,211.4,46,44.0,0,0,
O-02,13,2026-03-14,4.0,11,206.3,208.7,68,46.2,0,0,
O-03,13,2026-03-14,6.5,10,210.8,215.9,82,48.0,0,0,
O-04,13,2026-03-14,8.0,4,209.8,212.5,56,53.3,0,0,
O-05,13,2026-03-14,3.0,0,199.2,209.5,58,47.9,0,0,
O-06,13,2026-03-14,9.5,3,216.0,220.5,47,46.7,0,0,
O-07,13,2026-03-14,5.5,13,205.6,208.9,75,54.7,0,0,
O-08,13,2026-03-14,11.0,5,215.6,224.4,56,46.4,0,0,
O-01,14,2026-03-15,2.5,11,205.7,210.3,65,50.0,0,0,
O-02,14,2026-03-15,4.0,12,203.6,208.3,42,50.0,0,0,
O-03,14,2026-03-15,6.5,11,215.4,220.4,72,49.0,1,48,F-HEAT
O-04,14,2026-03-15,8.0,5,213.7,219.0,48,44.9,1,145,F-CTRL
O-05,14,2026-03-15,3.0,1,200.6,202.2,65,53.2,0,0,
O-06,14,2026-03-15,9.5,4,212.3,217.0,42,50.1,0,0,
O-07,14,2026-03-15,5.5,14,208.6,212.5,38,47.6,0,0,
O-08,14,2026-03-15,11.0,6,217.1,224.3,41,47.7,0,0,
O-01,15,2026-03-16,2.5,12,205.2,209.8,31,52.6,0,0,
O-02,15,2026-03-16,4.0,13,203.3,208.1,53,53.1,0,0,
O-03,15,2026-03-16,6.5,0,210.0,210.3,76,48.5,0,0,
O-04,15,2026-03-16,8.0,0,210.7,218.0,51,53.1,0,0,
O-05,15,2026-03-16,3.0,2,197.2,200.1,43,50.7,0,0,
O-06,15,2026-03-16,9.5,5,215.1,218.8,68,48.4,0,0,
O-07,15,2026-03-16,5.5,15,207.5,212.4,88,52.6,0,0,
O-08,15,2026-03-16,11.0,7,216.1,220.9,50,48.4,0,0,
O-01,16,2026-03-17,2.5,13,207.0,213.0,39,47.9,0,0,
O-02,16,2026-03-17,4.0,14,204.9,212.9,67,42.7,0,0,
O-03,16,2026-03-17,6.5,1,210.9,216.6,51,46.5,0,0,
O-04,16,2026-03-17,8.0,1,211.7,218.0,75,50.1,0,0,
O-05,16,2026-03-17,3.0,3,202.2,210.1,51,42.0,0,0,
O-06,16,2026-03-17,9.5,6,215.3,220.1,49,51.3,0,0,
O-07,16,2026-03-17,5.5,16,205.1,208.6,27,47.9,0,0,
O-08,16,2026-03-17,11.0,8,219.1,225.1,62,49.5,1,138,F-DOOR
O-01,17,2026-03-18,2.5,14,204.3,211.8,70,47.4,0,0,
O-02,17,2026-03-18,4.0,15,203.0,205.9,33,45.6,0,0,
O-03,17,2026-03-18,6.5,2,208.8,211.6,65,48.5,0,0,
O-04,17,2026-03-18,8.0,2,207.1,213.4,42,51.0,0,0,
O-05,17,2026-03-18,3.0,4,199.6,204.2,58,49.7,0,0,
O-06,17,2026-03-18,9.5,7,215.8,223.5,55,49.0,0,0,
O-07,17,2026-03-18,5.5,17,210.3,212.8,59,52.9,0,0,
O-08,17,2026-03-18,11.0,0,220.9,222.5,65,46.9,0,0,
O-01,18,2026-03-19,2.5,15,202.8,205.8,42,47.5,0,0,
O-02,18,2026-03-19,4.0,16,205.4,208.5,58,49.7,0,0,
O-03,18,2026-03-19,6.5,3,211.8,222.1,55,48.9,1,215,F-DOOR
O-04,18,2026-03-19,8.0,3,210.7,214.2,63,50.8,0,0,
O-05,18,2026-03-19,3.0,5,203.3,209.3,45,48.8,0,0,
O-06,18,2026-03-19,9.5,8,217.6,220.1,75,46.3,0,0,
O-07,18,2026-03-19,5.5,18,206.0,215.0,47,50.8,0,0,
O-08,18,2026-03-19,11.0,1,215.1,219.1,52,44.0,0,0,
O-01,19,2026-03-20,2.5,16,204.6,211.0,26,50.5,0,0,
O-02,19,2026-03-20,4.0,17,205.9,210.9,46,43.9,0,0,
O-03,19,2026-03-20,6.5,0,210.8,214.5,73,45.5,0,0,
O-04,19,2026-03-20,8.0,4,211.0,216.0,24,49.4,0,0,
O-05,19,2026-03-20,3.0,6,200.3,203.9,57,52.4,0,0,
O-06,19,2026-03-20,9.5,9,213.9,221.1,48,45.4,0,0,
O-07,19,2026-03-20,5.5,19,209.9,213.6,45,49.0,0,0,
O-08,19,2026-03-20,11.0,2,214.1,221.7,56,51.4,0,0,
O-01,20,2026-03-21,2.5,17,207.5,209.8,61,49.4,0,0,
O-02,20,2026-03-21,4.0,18,205.9,215.5,46,52.5,0,0,
O-03,20,2026-03-21,6.5,1,206.3,208.0,82,44.2,0,0,
O-04,20,2026-03-21,8.0,5,209.3,211.3,39,51.4,0,0,
O-05,20,2026-03-21,3.0,7,200.2,202.4,57,49.3,0,0,
O-06,20,2026-03-21,9.5,10,215.3,224.3,55,52.3,0,0,
O-07,20,2026-03-21,5.5,20,206.5,210.8,44,45.5,0,0,
O-08,20,2026-03-21,11.0,3,217.3,222.7,79,46.4,0,0,
O-01,21,2026-03-22,2.5,18,205.9,206.4,66,51.3,0,0,
O-02,21,2026-03-22,4.0,19,206.3,211.3,57,50.7,0,0,
O-03,21,2026-03-22,6.5,2,209.0,213.2,45,54.2,0,0,
O-04,21,2026-03-22,8.0,6,211.8,221.3,68,52.6,1,135,F-HEAT
O-05,21,2026-03-22,3.0,8,202.1,204.4,56,46.0,0,0,
O-06,21,2026-03-22,9.5,11,215.1,216.3,80,44.8,0,0,
O-07,21,2026-03-22,5.5,21,207.7,209.2,75,52.1,0,0,
O-08,21,2026-03-22,11.0,4,213.1,214.3,63,44.7,0,0,
O-01,22,2026-03-23,2.5,19,205.0,205.6,54,52.7,0,0,
O-02,22,2026-03-23,4.0,20,205.1,209.5,51,45.3,0,0,
O-03,22,2026-03-23,6.5,3,208.7,214.4,94,50.4,0,0,
O-04,22,2026-03-23,8.0,0,213.5,215.5,36,54.6,0,0,
O-05,22,2026-03-23,3.0,9,201.9,208.5,70,50.1,0,0,
O-06,22,2026-03-23,9.5,12,218.3,224.1,66,46.3,1,140,F-CTRL
O-07,22,2026-03-23,5.5,22,212.1,227.3,18,46.8,1,90,F-DOOR
O-08,22,2026-03-23,11.0,5,215.8,222.9,57,53.1,0,0,
O-01,23,2026-03-24,2.5,20,207.1,209.2,77,46.6,0,0,
O-02,23,2026-03-24,4.0,21,208.4,213.1,50,47.3,0,0,
O-03,23,2026-03-24,6.5,4,211.4,213.7,48,48.1,0,0,
O-04,23,2026-03-24,8.0,1,206.7,209.8,56,51.1,0,0,
O-05,23,2026-03-24,3.0,10,204.0,208.2,49,41.2,0,0,
O-06,23,2026-03-24,9.5,0,214.6,221.5,76,45.4,0,0,
O-07,23,2026-03-24,5.5,0,204.6,206.9,36,50.8,0,0,
O-08,23,2026-03-24,11.0,6,216.2,221.0,73,49.5,0,0,
O-01,24,2026-03-25,2.5,21,207.9,213.8,60,49.0,0,0,
O-02,24,2026-03-25,4.0,22,206.3,212.0,60,49.6,0,0,
O-03,24,2026-03-25,6.5,5,210.4,217.1,54,47.2,0,0,
O-04,24,2026-03-25,8.0,2,208.8,211.9,20,51.3,0,0,
O-05,24,2026-03-25,3.0,11,197.6,200.8,69,47.6,0,0,
O-06,24,2026-03-25,9.5,1,214.4,220.4,63,54.0,0,0,
O-07,24,2026-03-25,5.5,1,207.5,213.5,78,43.7,0,0,
O-08,24,2026-03-25,11.0,7,217.2,224.8,73,45.2,0,0,
O-01,25,2026-03-26,2.5,22,205.7,211.6,81,46.0,0,0,
O-02,25,2026-03-26,4.0,23,210.5,214.6,50,49.1,0,0,
O-03,25,2026-03-26,6.5,6,211.5,218.3,67,50.0,0,0,
O-04,25,2026-03-26,8.0,3,205.9,210.9,80,51.6,0,0,
O-05,25,2026-03-26,3.0,12,200.6,202.0,47,52.2,0,0,
O-06,25,2026-03-26,9.5,2,218.0,223.7,26,46.7,1,45,F-HEAT
O-07,25,2026-03-26,5.5,2,206.5,215.1,57,53.7,0,0,
O-08,25,2026-03-26,11.0,8,218.5,230.1,73,46.7,1,166,F-HEAT
O-01,26,2026-03-27,2.5,23,207.3,211.5,57,49.0,0,0,
O-02,26,2026-03-27,4.0,24,207.6,207.7,50,52.1,0,0,
O-03,26,2026-03-27,6.5,7,210.7,212.9,45,57.7,0,0,
O-04,26,2026-03-27,8.0,4,209.4,209.7,50,49.2,0,0,
O-05,26,2026-03-27,3.0,13,196.7,204.8,61,48.3,0,0,
O-06,26,2026-03-27,9.5,0,219.0,219.9,42,49.0,0,0,
O-07,26,2026-03-27,5.5,3,205.8,208.6,54,51.6,0,0,
O-08,26,2026-03-27,11.0,0,214.9,220.0,48,52.2,0,0,
O-01,27,2026-03-28,2.5,24,205.7,208.6,41,51.2,0,0,
O-02,27,2026-03-28,4.0,25,208.1,214.7,44,50.5,0,0,
O-03,27,2026-03-28,6.5,8,212.6,215.0,79,50.5,0,0,
O-04,27,2026-03-28,8.0,5,210.8,215.1,73,48.5,0,0,
O-05,27,2026-03-28,3.0,14,203.5,208.7,63,52.1,0,0,
O-06,27,2026-03-28,9.5,1,213.9,218.3,63,52.1,0,0,
O-07,27,2026-03-28,5.5,4,206.0,206.5,55,52.9,0,0,
O-08,27,2026-03-28,11.0,1,215.9,223.9,62,50.2,0,0,
O-01,28,2026-03-29,2.5,25,204.5,206.1,43,49.1,0,0,
O-02,28,2026-03-29,4.0,26,206.4,213.1,62,53.2,0,0,
O-03,28,2026-03-29,6.5,9,213.0,224.5,61,46.7,1,204,F-HEAT
O-04,28,2026-03-29,8.0,6,209.6,218.1,51,47.9,0,0,
O-05,28,2026-03-29,3.0,15,200.2,203.5,43,45.0,0,0,
O-06,28,2026-03-29,9.5,2,214.8,220.7,44,49.6,0,0,
O-07,28,2026-03-29,5.5,5,207.8,213.5,49,44.7,0,0,
O-08,28,2026-03-29,11.0,2,216.8,221.7,63,51.8,0,0,
O-01,29,2026-03-30,2.5,26,209.1,212.3,68,52.4,0,0,
O-02,29,2026-03-30,4.0,27,206.1,209.7,74,53.6,0,0,
O-03,29,2026-03-30,6.5,0,209.5,216.4,33,47.7,0,0,
O-04,29,2026-03-30,8.0,7,208.1,210.4,70,52.5,0,0,
O-05,29,2026-03-30,3.0,16,200.2,204.1,53,42.0,0,0,
O-06,29,2026-03-30,9.5,3,217.2,220.6,67,51.5,0,0,
O-07,29,2026-03-30,5.5,6,206.6,213.4,36,54.0,1,126,F-DOOR
O-08,29,2026-03-30,11.0,3,215.5,216.8,65,52.7,0,0,
O-01,30,2026-03-31,2.5,27,206.0,210.9,60,42.6,0,0,
O-02,30,2026-03-31,4.0,28,204.4,208.1,73,55.3,0,0,
O-03,30,2026-03-31,6.5,1,213.8,223.9,68,51.0,1,59,F-CTRL
O-04,30,2026-03-31,8.0,8,213.8,214.8,77,52.3,0,0,
O-05,30,2026-03-31,3.0,17,200.2,201.6,66,54.2,0,0,
O-06,30,2026-03-31,9.5,4,214.7,223.2,68,49.6,0,0,
O-07,30,2026-03-31,5.5,0,203.2,205.4,53,53.5,0,0,
O-08,30,2026-03-31,11.0,4,216.7,217.0,48,47.8,0,0,
O-01,31,2026-04-01,2.5,28,209.2,212.6,74,48.5,0,0,
O-02,31,2026-04-01,4.0,29,208.5,210.6,45,45.9,0,0,
O-03,31,2026-04-01,6.5,0,210.5,214.2,48,47.4,0,0,
O-04,31,2026-04-01,8.0,9,211.2,215.3,46,48.1,0,0,
O-05,31,2026-04-01,3.0,18,200.1,206.1,40,51.0,0,0,
O-06,31,2026-04-01,9.5,5,213.5,215.2,77,53.2,0,0,
O-07,31,2026-04-01,5.5,1,205.0,208.4,52,50.4,1,79,F-DOOR
O-08,31,2026-04-01,11.0,5,217.9,220.5,58,50.5,0,0,
O-01,32,2026-04-02,2.5,29,206.7,210.7,44,46.9,0,0,
O-02,32,2026-04-02,4.0,30,208.1,212.4,49,46.4,0,0,
O-03,32,2026-04-02,6.5,1,209.4,216.5,50,43.1,0,0,
O-04,32,2026-04-02,8.0,10,209.6,213.2,51,49.4,0,0,
O-05,32,2026-04-02,3.0,19,203.0,207.6,53,54.3,0,0,
O-06,32,2026-04-02,9.5,6,214.5,219.8,67,47.4,0,0,
O-07,32,2026-04-02,5.5,0,208.4,211.0,57,52.2,0,0,
O-08,32,2026-04-02,11.0,6,216.9,219.8,18,47.5,0,0,
O-01,33,2026-04-03,2.5,30,212.4,224.1,44,52.3,1,176,F-CTRL
O-02,33,2026-04-03,4.0,31,209.2,218.0,64,57.1,1,45,F-CTRL
O-03,33,2026-04-03,6.5,2,211.6,215.3,43,50.6,0,0,
O-04,33,2026-04-03,8.0,11,209.6,210.2,45,49.6,0,0,
O-05,33,2026-04-03,3.0,20,203.1,208.1,37,46.5,0,0,
O-06,33,2026-04-03,9.5,7,214.7,217.5,70,51.3,0,0,
O-07,33,2026-04-03,5.5,1,205.4,209.4,52,50.9,0,0,
O-08,33,2026-04-03,11.0,7,213.6,216.4,34,52.8,0,0,
O-01,34,2026-04-04,2.5,0,202.9,207.3,49,48.1,0,0,
O-02,34,2026-04-04,4.0,0,205.9,210.5,49,53.8,0,0,
O-03,34,2026-04-04,6.5,3,210.3,213.3,37,47.5,0,0,
O-04,34,2026-04-04,8.0,12,209.5,211.5,63,51.4,0,0,
O-05,34,2026-04-04,3.0,21,201.9,202.6,42,46.1,0,0,
O-06,34,2026-04-04,9.5,8,216.1,219.1,35,50.7,0,0,
O-07,34,2026-04-04,5.5,2,205.9,208.2,44,51.0,0,0,
O-08,34,2026-04-04,11.0,8,216.4,221.9,43,46.5,0,0,
O-01,35,2026-04-05,2.5,1,205.5,205.9,57,48.7,0,0,
O-02,35,2026-04-05,4.0,1,206.0,209.1,47,57.5,0,0,
O-03,35,2026-04-05,6.5,4,208.3,208.7,26,49.3,0,0,
O-04,35,2026-04-05,8.0,13,211.8,214.1,71,49.4,0,0,
O-05,35,2026-04-05,3.0,22,205.6,209.9,80,50.8,0,0,
O-06,35,2026-04-05,9.5,9,217.6,223.0,68,46.6,0,0,
O-07,35,2026-04-05,5.5,3,204.1,209.1,46,47.8,0,0,
O-08,35,2026-04-05,11.0,9,216.5,216.6,58,49.2,0,0,
O-01,36,2026-04-06,2.5,2,203.9,208.1,64,49.7,0,0,
O-02,36,2026-04-06,4.0,2,206.6,208.3,56,45.0,0,0,
O-03,36,2026-04-06,6.5,5,208.3,212.6,44,44.5,0,0,
O-04,36,2026-04-06,8.0,14,211.3,217.7,81,56.2,0,0,
O-05,36,2026-04-06,3.0,23,203.6,209.6,81,48.1,0,0,
O-06,36,2026-04-06,9.5,10,217.5,218.5,40,49.6,0,0,
O-07,36,2026-04-06,5.5,4,205.8,208.4,48,49.4,0,0,
O-08,36,2026-04-06,11.0,10,216.2,222.3,73,47.9,0,0,
O-01,37,2026-04-07,2.5,3,206.6,212.3,60,45.2,0,0,
O-02,37,2026-04-07,4.0,3,203.6,204.1,65,50.4,0,0,
O-03,37,2026-04-07,6.5,6,210.7,213.5,50,50.2,0,0,
O-04,37,2026-04-07,8.0,15,212.2,216.9,68,49.7,0,0,
O-05,37,2026-04-07,3.0,24,202.3,203.9,31,50.6,0,0,
O-06,37,2026-04-07,9.5,11,215.4,219.5,28,48.6,0,0,
O-07,37,2026-04-07,5.5,5,205.3,207.0,26,44.9,0,0,
O-08,37,2026-04-07,11.0,11,216.9,222.4,34,49.3,0,0,
O-01,38,2026-04-08,2.5,4,205.7,207.9,64,53.0,0,0,
O-02,38,2026-04-08,4.0,4,208.1,209.4,36,47.4,0,0,
O-03,38,2026-04-08,6.5,7,211.2,213.8,61,50.8,0,0,
O-04,38,2026-04-08,8.0,16,217.8,228.7,81,46.3,1,92,F-DOOR
O-05,38,2026-04-08,3.0,25,203.3,208.4,61,49.4,0,0,
O-06,38,2026-04-08,9.5,12,218.3,224.3,65,54.5,0,0,
O-07,38,2026-04-08,5.5,6,205.2,212.7,37,47.9,0,0,
O-08,38,2026-04-08,11.0,12,215.6,221.7,36,48.5,0,0,
O-01,39,2026-04-09,2.5,5,206.6,212.5,83,51.4,0,0,
O-02,39,2026-04-09,4.0,5,203.9,210.4,67,52.5,0,0,
O-03,39,2026-04-09,6.5,8,210.5,211.8,59,51.2,0,0,
O-04,39,2026-04-09,8.0,0,207.8,214.0,38,52.8,0,0,
O-05,39,2026-04-09,3.0,26,200.6,203.9,44,44.1,0,0,
O-06,39,2026-04-09,9.5,13,216.1,217.9,38,43.9,0,0,
O-07,39,2026-04-09,5.5,7,207.8,217.0,64,45.2,0,0,
O-08,39,2026-04-09,11.0,13,219.5,227.5,50,52.6,1,189,F-DOOR
O-01,40,2026-04-10,2.5,6,204.3,210.6,42,47.0,0,0,
O-02,40,2026-04-10,4.0,6,207.2,207.7,66,46.4,0,0,
O-03,40,2026-04-10,6.5,9,211.1,216.6,54,47.1,0,0,
O-04,40,2026-04-10,8.0,1,211.6,215.9,54,51.4,0,0,
O-05,40,2026-04-10,3.0,27,200.5,207.9,52,49.8,0,0,
O-06,40,2026-04-10,9.5,14,213.5,215.8,64,47.8,1,212,F-DOOR
O-07,40,2026-04-10,5.5,8,206.1,209.6,69,48.6,0,0,
O-08,40,2026-04-10,11.0,0,218.2,222.9,47,50.7,0,0,
O-01,41,2026-04-11,2.5,7,206.0,210.5,57,52.1,0,0,
O-02,41,2026-04-11,4.0,7,203.8,207.4,60,39.8,0,0,
O-03,41,2026-04-11,6.5,10,209.9,213.0,42,49.9,0,0,
O-04,41,2026-04-11,8.0,2,209.4,217.2,33,47.2,0,0,
O-05,41,2026-04-11,3.0,28,198.0,203.4,60,50.3,0,0,
O-06,41,2026-04-11,9.5,0,216.4,219.5,54,48.2,0,0,
O-07,41,2026-04-11,5.5,9,207.3,212.2,56,49.0,0,0,
O-08,41,2026-04-11,11.0,1,214.8,220.8,44,47.5,0,0,
O-01,42,2026-04-12,2.5,8,206.3,213.3,56,52.3,0,0,
O-02,42,2026-04-12,4.0,8,209.9,213.9,57,51.1,0,0,
O-03,42,2026-04-12,6.5,11,211.4,220.7,30,50.2,0,0,
O-04,42,2026-04-12,8.0,3,205.9,206.9,14,47.2,0,0,
O-05,42,2026-04-12,3.0,29,204.5,214.3,29,47.1,1,189,F-DOOR
O-06,42,2026-04-12,9.5,1,216.8,220.0,57,47.7,0,0,
O-07,42,2026-04-12,5.5,10,207.9,213.9,72,46.4,0,0,
O-08,42,2026-04-12,11.0,2,217.6,219.6,48,45.6,0,0,
O-01,43,2026-04-13,2.5,9,210.4,212.4,66,56.3,0,0,
O-02,43,2026-04-13,4.0,9,205.5,212.5,45,49.7,0,0,
O-03,43,2026-04-13,6.5,12,212.4,216.4,64,49.4,0,0,
O-04,43,2026-04-13,8.0,4,213.8,217.1,64,46.3,0,0,
O-05,43,2026-04-13,3.0,0,201.5,207.3,45,49.0,0,0,
O-06,43,2026-04-13,9.5,2,214.1,214.2,76,48.3,0,0,
O-07,43,2026-04-13,5.5,11,202.8,203.9,53,45.5,0,0,
O-08,43,2026-04-13,11.0,3,215.7,219.5,44,44.4,0,0,
O-01,44,2026-04-14,2.5,10,204.6,210.3,61,50.8,0,0,
O-02,44,2026-04-14,4.0,10,206.0,211.3,52,51.7,0,0,
O-03,44,2026-04-14,6.5,13,211.1,212.5,53,47.2,0,0,
O-04,44,2026-04-14,8.0,5,212.7,216.4,75,47.8,0,0,
O-05,44,2026-04-14,3.0,1,198.5,200.0,79,49.3,0,0,
O-06,44,2026-04-14,9.5,3,213.7,215.9,54,50.9,0,0,
O-07,44,2026-04-14,5.5,12,208.4,212.6,80,51.7,0,0,
O-08,44,2026-04-14,11.0,4,216.1,224.1,48,46.7,0,0,
O-01,45,2026-04-15,2.5,11,204.5,206.8,34,45.7,0,0,
O-02,45,2026-04-15,4.0,11,208.3,214.6,52,48.6,0,0,
O-03,45,2026-04-15,6.5,14,209.5,210.7,68,49.3,0,0,
O-04,45,2026-04-15,8.0,6,212.7,218.1,36,48.6,0,0,
O-05,45,2026-04-15,3.0,2,198.3,202.6,67,44.8,0,0,
O-06,45,2026-04-15,9.5,4,217.1,220.6,46,48.0,0,0,
O-07,45,2026-04-15,5.5,13,204.6,208.0,14,46.4,0,0,
O-08,45,2026-04-15,11.0,5,216.9,219.0,92,45.9,0,0,
